strategy,params,params_json,profit,bankrupt,dd50,dd80,worst_dd
adaptive_constant_profit,k=5.00_var,"{""k"": 5.0}",15554.187960517842,4.92,100.0,98.7,-99.99731498281093
exponential_roi,base=7.0%_e=2.5,"{""base"": 7.0, ""exp"": 2.5}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=7.0%_e=2.0,"{""base"": 7.0, ""exp"": 2.0}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=6.0%_e=2.0,"{""base"": 6.0, ""exp"": 2.0}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=6.0%_e=3.0,"{""base"": 6.0, ""exp"": 3.0}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=7.0%_e=1.3,"{""base"": 7.0, ""exp"": 1.3}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=6.0%_e=2.5,"{""base"": 6.0, ""exp"": 2.5}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=7.0%_e=1.5,"{""base"": 7.0, ""exp"": 1.5}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=7.0%_e=1.7,"{""base"": 7.0, ""exp"": 1.7}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=6.0%_e=1.7,"{""base"": 6.0, ""exp"": 1.7}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=5.0%_e=3.0,"{""base"": 5.0, ""exp"": 3.0}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=7.0%_e=3.0,"{""base"": 7.0, ""exp"": 3.0}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=5.0%_e=2.5,"{""base"": 5.0, ""exp"": 2.5}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=4.0%_e=3.0,"{""base"": 4.0, ""exp"": 3.0}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
linear_roi,base=8.0%,"{""base"": 8.0}",14808.984422167552,7.489999999999999,100.0,99.35000000000001,-99.9977608293067
linear_roi,base=10.0%,"{""base"": 10.0}",14808.984422167552,7.489999999999999,100.0,99.35000000000001,-99.9977608293067
linear_roi,base=9.0%,"{""base"": 9.0}",14808.984422167552,7.489999999999999,100.0,99.35000000000001,-99.9977608293067
exponential_roi,base=6.0%_e=1.5,"{""base"": 6.0, ""exp"": 1.5}",14784.538080082735,7.71,100.0,99.3,-99.99712063274704
anti_martingale,base=10.0%_m=1.7,"{""base"": 10.0, ""mult"": 1.7}",14728.861851264986,7.539999999999999,100.0,99.33,-99.9979620157816
anti_martingale,base=10.0%_m=1.2,"{""base"": 10.0, ""mult"": 1.2}",14728.861851264986,7.539999999999999,100.0,99.33,-99.9979620157816
anti_martingale,base=10.0%_m=1.8,"{""base"": 10.0, ""mult"": 1.8}",14728.861851264986,7.539999999999999,100.0,99.33,-99.9979620157816
anti_martingale,base=10.0%_m=1.5,"{""base"": 10.0, ""mult"": 1.5}",14728.861851264986,7.539999999999999,100.0,99.33,-99.9979620157816
anti_martingale,base=10.0%_m=3.0,"{""base"": 10.0, ""mult"": 3.0}",14728.861851264986,7.539999999999999,100.0,99.33,-99.9979620157816
anti_martingale,base=10.0%_m=1.6,"{""base"": 10.0, ""mult"": 1.6}",14728.861851264986,7.539999999999999,100.0,99.33,-99.9979620157816
anti_martingale,base=10.0%_m=2.0,"{""base"": 10.0, ""mult"": 2.0}",14728.861851264986,7.539999999999999,100.0,99.33,-99.9979620157816
anti_martingale,base=10.0%_m=2.5,"{""base"": 10.0, ""mult"": 2.5}",14728.861851264986,7.539999999999999,100.0,99.33,-99.9979620157816
anti_martingale,base=10.0%_m=1.4,"{""base"": 10.0, ""mult"": 1.4}",14728.861851264986,7.539999999999999,100.0,99.33,-99.9979620157816
anti_martingale,base=10.0%_m=1.3,"{""base"": 10.0, ""mult"": 1.3}",14728.861851264986,7.539999999999999,100.0,99.33,-99.9979620157816
exponential_roi,base=5.0%_e=2.0,"{""base"": 5.0, ""exp"": 2.0}",14370.423087284764,7.48,100.0,99.27,-99.99708986843451
linear_roi,base=7.0%,"{""base"": 7.0}",14260.455247288677,7.16,100.0,99.33999999999999,-99.99749245565597
fixed_fraction,10.0%,"{""pct"": 10.0}",13558.512913840443,7.59,100.0,99.33999999999999,-99.99846878251456
adaptive_constant_profit,k=4.50_var,"{""k"": 4.5}",13435.070502281156,3.85,100.0,98.11999999999999,-99.99726125095297
exponential_roi,base=6.0%_e=1.3,"{""base"": 6.0, ""exp"": 1.3}",12902.856064846734,6.7,100.0,98.99,-99.99659227006356
exponential_roi,base=4.0%_e=2.5,"{""base"": 4.0, ""exp"": 2.5}",12858.406954666601,6.68,100.0,98.96000000000001,-99.99654112536507
anti_martingale,base=8.0%_m=1.4,"{""base"": 8.0, ""mult"": 1.4}",12302.482632719782,5.83,100.0,98.72999999999999,-99.99745012714918
anti_martingale,base=8.0%_m=2.0,"{""base"": 8.0, ""mult"": 2.0}",12302.482632719782,5.83,100.0,98.72999999999999,-99.99745012714918
anti_martingale,base=8.0%_m=1.8,"{""base"": 8.0, ""mult"": 1.8}",12302.482632719782,5.83,100.0,98.72999999999999,-99.99745012714918
anti_martingale,base=8.0%_m=1.3,"{""base"": 8.0, ""mult"": 1.3}",12302.482632719782,5.83,100.0,98.72999999999999,-99.99745012714918
anti_martingale,base=8.0%_m=1.5,"{""base"": 8.0, ""mult"": 1.5}",12302.482632719782,5.83,100.0,98.72999999999999,-99.99745012714918
anti_martingale,base=8.0%_m=1.6,"{""base"": 8.0, ""mult"": 1.6}",12302.482632719782,5.83,100.0,98.72999999999999,-99.99745012714918
anti_martingale,base=8.0%_m=1.7,"{""base"": 8.0, ""mult"": 1.7}",12302.482632719782,5.83,100.0,98.72999999999999,-99.99745012714918
anti_martingale,base=8.0%_m=3.0,"{""base"": 8.0, ""mult"": 3.0}",12302.482632719782,5.83,100.0,98.72999999999999,-99.99745012714918
anti_martingale,base=8.0%_m=2.5,"{""base"": 8.0, ""mult"": 2.5}",12302.482632719782,5.83,100.0,98.72999999999999,-99.99745012714918
anti_martingale,base=8.0%_m=1.2,"{""base"": 8.0, ""mult"": 1.2}",11951.05413214871,5.66,100.0,98.71,-99.99746494450335
exponential_roi,base=5.0%_e=1.7,"{""base"": 5.0, ""exp"": 1.7}",11642.403402012824,5.87,100.0,98.68,-99.99577355525446
adaptive_constant_profit,k=4.00_var,"{""k"": 4.0}",11055.615576619244,2.68,100.0,96.86,-99.99639987737001
anti_martingale,base=7.0%_m=2.5,"{""base"": 7.0, ""mult"": 2.5}",10822.21291617278,4.65,100.0,98.08,-99.9965515945609
anti_martingale,base=7.0%_m=3.0,"{""base"": 7.0, ""mult"": 3.0}",10822.21291617278,4.65,100.0,98.08,-99.9965515945609
anti_martingale,base=7.0%_m=1.8,"{""base"": 7.0, ""mult"": 1.8}",10822.21291617278,4.65,100.0,98.08,-99.9965515945609
anti_martingale,base=7.0%_m=1.7,"{""base"": 7.0, ""mult"": 1.7}",10822.21291617278,4.65,100.0,98.08,-99.9965515945609
anti_martingale,base=7.0%_m=1.6,"{""base"": 7.0, ""mult"": 1.6}",10822.21291617278,4.65,100.0,98.08,-99.9965515945609
anti_martingale,base=7.0%_m=1.5,"{""base"": 7.0, ""mult"": 1.5}",10822.21291617278,4.65,100.0,98.08,-99.9965515945609
anti_martingale,base=7.0%_m=2.0,"{""base"": 7.0, ""mult"": 2.0}",10822.21291617278,4.65,100.0,98.08,-99.9965515945609
anti_martingale,base=7.0%_m=1.4,"{""base"": 7.0, ""mult"": 1.4}",10648.533306756293,4.61,100.0,98.03,-99.99637616788429
anti_martingale,base=7.0%_m=1.3,"{""base"": 7.0, ""mult"": 1.3}",10040.9105430563,4.34,100.0,97.77,-99.99584666029887
exponential_roi,base=5.0%_e=1.5,"{""base"": 5.0, ""exp"": 1.5}",9994.5080184315,4.8,100.0,98.14,-99.99541659357737
exponential_roi,base=3.0%_e=3.0,"{""base"": 3.0, ""exp"": 3.0}",9843.314783186881,4.6899999999999995,100.0,98.09,-99.9952258766358
linear_roi,base=6.0%,"{""base"": 6.0}",9830.731749559734,4.89,100.0,98.25,-99.99607308871504
anti_martingale,base=7.0%_m=1.2,"{""base"": 7.0, ""mult"": 1.2}",9440.210272925851,3.8899999999999997,100.0,97.55,-99.99557515550525
sqrt_roi,base=7.0%,"{""base"": 7.0}",9259.89104074264,4.81,100.0,98.11999999999999,-99.99660616331118
anti_martingale,base=6.0%_m=1.7,"{""base"": 6.0, ""mult"": 1.7}",8909.038414603569,3.38,100.0,97.0,-99.99544883731848
anti_martingale,base=6.0%_m=1.8,"{""base"": 6.0, ""mult"": 1.8}",8909.038414603569,3.38,100.0,97.0,-99.99544883731848
anti_martingale,base=6.0%_m=2.0,"{""base"": 6.0, ""mult"": 2.0}",8909.038414603569,3.38,100.0,97.0,-99.99544883731848
anti_martingale,base=6.0%_m=2.5,"{""base"": 6.0, ""mult"": 2.5}",8909.038414603569,3.38,100.0,97.0,-99.99544883731848
anti_martingale,base=6.0%_m=3.0,"{""base"": 6.0, ""mult"": 3.0}",8909.038414603569,3.38,100.0,97.0,-99.99544883731848
fixed_fraction,8.0%,"{""pct"": 8.0}",8846.359622859316,4.2299999999999995,100.0,97.77,-99.99569531418744
exponential_roi,base=4.0%_e=2.0,"{""base"": 4.0, ""exp"": 2.0}",8693.413583896168,3.88,100.0,97.46000000000001,-99.99488730574963
adaptive_constant_profit,k=3.50_var,"{""k"": 3.5}",8635.008756813264,1.66,100.0,94.75,-99.99420160213194
anti_martingale,base=6.0%_m=1.6,"{""base"": 6.0, ""mult"": 1.6}",8598.741534072135,3.25,100.0,96.86,-99.99523856607408
exponential_roi,base=5.0%_e=1.3,"{""base"": 5.0, ""exp"": 1.3}",8416.999292687193,3.74,100.0,97.26,-99.99450610950635
anti_martingale,base=6.0%_m=1.5,"{""base"": 6.0, ""mult"": 1.5}",8141.376640330541,3.1,100.0,96.54,-99.9955383376308
anti_martingale,base=6.0%_m=1.4,"{""base"": 6.0, ""mult"": 1.4}",7719.0866580012025,2.81,100.0,96.15,-99.99528729233235
anti_martingale,base=6.0%_m=1.3,"{""base"": 6.0, ""mult"": 1.3}",7281.84740715975,2.5,100.0,95.74000000000001,-99.9951866839268
anti_martingale,base=5.0%_m=3.0,"{""base"": 5.0, ""mult"": 3.0}",7014.694547109687,2.18,100.0,95.19,-99.99551581114903
anti_martingale,base=5.0%_m=2.5,"{""base"": 5.0, ""mult"": 2.5}",7014.694547109687,2.18,100.0,95.19,-99.99551581114903
anti_martingale,base=5.0%_m=2.0,"{""base"": 5.0, ""mult"": 2.0}",7014.694547109687,2.18,100.0,95.19,-99.99551581114903
exponential_roi,base=4.0%_e=1.7,"{""base"": 4.0, ""exp"": 1.7}",6645.645224495535,2.55,100.0,95.6,-99.99337235031751
anti_martingale,base=6.0%_m=1.2,"{""base"": 6.0, ""mult"": 1.2}",6418.267663403286,2.0,100.0,94.62,-99.99523416104178
anti_martingale,base=5.0%_m=1.8,"{""base"": 5.0, ""mult"": 1.8}",6393.269649894704,1.94,99.99,94.34,-99.99508908762915
adaptive_constant_profit,k=3.00_var,"{""k"": 3.0}",6322.030344418157,0.84,100.0,90.84,-99.99332208927024
exponential_roi,base=3.0%_e=2.5,"{""base"": 3.0, ""exp"": 2.5}",6309.328858407344,2.29,100.0,95.19999999999999,-99.99321191462914
sqrt_roi,base=6.0%,"{""base"": 6.0}",6285.175086993125,2.65,100.0,95.81,-99.99493958123848
fixed_fraction,7.0%,"{""pct"": 7.0}",6235.871205854119,2.45,99.99,95.50999999999999,-99.9937473887532
anti_martingale,base=5.0%_m=1.7,"{""base"": 5.0, ""mult"": 1.7}",6102.535611952347,1.76,99.99,93.83,-99.99530525740622
anti_martingale,base=4.5%_m=3.0,"{""base"": 4.5, ""mult"": 3.0}",6089.688043273114,1.73,99.99,93.97,-99.99521961501573
anti_martingale,base=4.5%_m=2.5,"{""base"": 4.5, ""mult"": 2.5}",6089.688043273114,1.73,99.99,93.97,-99.99521961501573
linear_roi,base=5.0%,"{""base"": 5.0}",5965.909894462963,2.46,100.0,95.62,-99.99449715791975
anti_martingale,base=5.0%_m=1.6,"{""base"": 5.0, ""mult"": 1.6}",5804.008690632334,1.59,99.99,93.32000000000001,-99.9953023721328
anti_martingale,base=4.5%_m=2.0,"{""base"": 4.5, ""mult"": 2.0}",5569.431462494416,1.53,99.99,93.08999999999999,-99.99473480429366
anti_martingale,base=5.0%_m=1.5,"{""base"": 5.0, ""mult"": 1.5}",5493.225045197008,1.39,99.99,92.47,-99.99494975444965
exponential_roi,base=4.0%_e=1.5,"{""base"": 4.0, ""exp"": 1.5}",5467.232153032734,1.77,100.0,93.93,-99.99277768517163
adaptive_constant_profit,k=2.80_var,"{""k"": 2.8}",5441.5890729522125,0.5499999999999999,100.0,87.97,-99.99265390824648
anti_martingale,base=4.0%_m=3.0,"{""base"": 4.0, ""mult"": 3.0}",5213.619528936796,1.29,100.0,92.65,-99.99333273582391
anti_martingale,base=4.0%_m=2.5,"{""base"": 4.0, ""mult"": 2.5}",5213.619528936796,1.29,100.0,92.65,-99.99333273582391
anti_martingale,base=5.0%_m=1.4,"{""base"": 5.0, ""mult"": 1.4}",5141.857381494741,1.1199999999999999,99.99,91.33,-99.99517841374293
anti_martingale,base=4.5%_m=1.8,"{""base"": 4.5, ""mult"": 1.8}",5105.1791337015775,1.21,99.99,91.81,-99.9941552066726
anti_martingale,base=4.5%_m=1.7,"{""base"": 4.5, ""mult"": 1.7}",4859.963201521501,1.04,99.99,90.82000000000001,-99.99402924891602
anti_martingale,base=4.5%_m=1.6,"{""base"": 4.5, ""mult"": 1.6}",4611.737819810087,0.8699999999999999,99.99,89.64999999999999,-99.99410526100434
adaptive_constant_profit,k=2.60_var,"{""k"": 2.6}",4608.797491749699,0.32,99.99,84.57000000000001,-99.99183492457396
anti_martingale,base=5.0%_m=1.3,"{""base"": 5.0, ""mult"": 1.3}",4519.273518429382,0.7799999999999999,99.99,89.21,-99.99416290314092
exponential_roi,base=4.0%_e=1.3,"{""base"": 4.0, ""exp"": 1.3}",4484.622937657294,1.21,99.99,91.24,-99.99147046751652
anti_martingale,base=3.5%_m=3.0,"{""base"": 3.5, ""mult"": 3.0}",4418.2297576862675,0.91,100.0,91.09,-99.98982320424192
anti_martingale,base=4.5%_m=1.5,"{""base"": 4.5, ""mult"": 1.5}",4362.148428838328,0.72,99.99,88.64,-99.99292154735309
anti_martingale,base=4.0%_m=2.0,"{""base"": 4.0, ""mult"": 2.0}",4338.761738435413,0.79,99.99,89.35,-99.99253055431429
fixed_fraction,6.0%,"{""pct"": 6.0}",4011.5208165974364,0.8699999999999999,99.99,90.07,-99.99152683505102
anti_martingale,base=3.5%_m=2.5,"{""base"": 3.5, ""mult"": 2.5}",3980.8506241130717,0.59,100.0,88.73,-99.98818176310988
anti_martingale,base=4.0%_m=1.8,"{""base"": 4.0, ""mult"": 1.8}",3955.2013922942742,0.5599999999999999,99.99,87.33,-99.98964094979556
anti_martingale,base=4.5%_m=1.4,"{""base"": 4.5, ""mult"": 1.4}",3886.3055559093145,0.48,99.99,86.19,-99.99100882605411
exponential_roi,base=3.0%_e=2.0,"{""base"": 3.0, ""exp"": 2.0}",3843.766676059169,0.84,99.99,88.64,-99.99073422878733
adaptive_constant_profit,k=2.40_var,"{""k"": 2.4}",3833.206492863899,0.21,99.95,79.55,-99.99134984572947
sqrt_roi,base=5.0%,"{""base"": 5.0}",3783.834617984496,0.83,100.0,89.17,-99.99232474918554
anti_martingale,base=4.0%_m=1.7,"{""base"": 4.0, ""mult"": 1.7}",3760.551724307308,0.43,99.99,86.00999999999999,-99.98749640627541
anti_martingale,base=5.0%_m=1.2,"{""base"": 5.0, ""mult"": 1.2}",3742.8013938449735,0.45999999999999996,99.99,85.83,-99.99231376815112
anti_martingale,base=4.0%_m=1.6,"{""base"": 4.0, ""mult"": 1.6}",3569.3134853903325,0.33999999999999997,99.99,84.68,-99.98493694394305
anti_martingale,base=3.0%_m=3.0,"{""base"": 3.0, ""mult"": 3.0}",3427.6887266771505,0.45999999999999996,100.0,87.36,-99.9811068181445
anti_martingale,base=4.5%_m=1.3,"{""base"": 4.5, ""mult"": 1.3}",3404.390540846727,0.26,99.97,83.33,-99.98752087987243
anti_martingale,base=3.5%_m=2.0,"{""base"": 3.5, ""mult"": 2.0}",3271.0283058403647,0.29,99.99,83.84,-99.97617073401823
anti_martingale,base=4.0%_m=1.5,"{""base"": 4.0, ""mult"": 1.5}",3223.2018209333633,0.2,99.98,82.01,-99.98096973277765
linear_roi,base=4.0%,"{""base"": 4.0}",3211.43213983322,0.48,99.96000000000001,85.92,-99.9899458198387
exponential_roi,base=2.0%_e=3.0,"{""base"": 2.0, ""exp"": 3.0}",3141.863351847571,0.44999999999999996,99.94,83.8,-99.98875598406785
adaptive_constant_profit,k=2.20_var,"{""k"": 2.2}",3125.2729912627938,0.1,99.82,73.31,-99.98975047870674
anti_martingale,base=3.5%_m=1.8,"{""base"": 3.5, ""mult"": 1.8}",2978.9980586278057,0.19,99.98,81.14,-99.97351040419447
anti_martingale,base=3.0%_m=2.5,"{""base"": 3.0, ""mult"": 2.5}",2929.3206314409904,0.21,100.0,83.09,-99.97238413254964
exponential_roi,base=3.0%_e=1.7,"{""base"": 3.0, ""exp"": 1.7}",2861.905780436958,0.38,99.92,81.46,-99.98772194966932
anti_martingale,base=4.0%_m=1.4,"{""base"": 4.0, ""mult"": 1.4}",2855.6564573605347,0.16,99.95,78.19,-99.97481501651315
anti_martingale,base=3.5%_m=1.7,"{""base"": 3.5, ""mult"": 1.7}",2838.155726716923,0.18,99.97,79.57,-99.97182089904155
anti_martingale,base=4.5%_m=1.2,"{""base"": 4.5, ""mult"": 1.2}",2737.8775874148428,0.15,99.92,77.7,-99.97921644376703
anti_martingale,base=3.5%_m=1.6,"{""base"": 3.5, ""mult"": 1.6}",2566.848195669922,0.13,99.95,75.71,-99.96169775731528
adaptive_constant_profit,k=2.00_var,"{""k"": 2.0}",2489.8367771588787,0.04,99.68,65.63,-99.9844465135334
anti_martingale,base=2.5%_m=3.0,"{""base"": 2.5, ""mult"": 3.0}",2446.5424802384564,0.16999999999999998,100.0,80.67,-99.96364490073223
anti_martingale,base=4.0%_m=1.3,"{""base"": 4.0, ""mult"": 1.3}",2401.4944005147813,0.12,99.8,72.47,-99.96100796268308
anti_martingale,base=3.0%_m=2.0,"{""base"": 3.0, ""mult"": 2.0}",2394.5059440819027,0.08,99.96000000000001,76.06,-99.96090025480568
fixed_fraction,5.0%,"{""pct"": 5.0}",2372.3601206152325,0.2,99.87,76.28,-99.98315195145676
exponential_roi,base=3.0%_e=1.5,"{""base"": 3.0, ""exp"": 1.5}",2356.7284422117973,0.15,99.83999999999999,75.17,-99.98432607942718
anti_martingale,base=3.5%_m=1.5,"{""base"": 3.5, ""mult"": 1.5}",2295.048010462518,0.06,99.85000000000001,71.47,-99.95644837859442
adaptive_constant_profit,k=1.90_var,"{""k"": 1.9}",2200.5243564108678,0.02,99.47,60.89,-99.97826396500231
anti_martingale,base=3.0%_m=1.8,"{""base"": 3.0, ""mult"": 1.8}",2166.337484683818,0.06,99.92999999999999,72.04,-99.95115881025012
anti_martingale,base=2.5%_m=2.5,"{""base"": 2.5, ""mult"": 2.5}",2068.437673238874,0.08,99.96000000000001,74.36,-99.95209051686635
sqrt_roi,base=4.0%,"{""base"": 4.0}",2021.0420232561464,0.12,99.77000000000001,70.96000000000001,-99.9789220276628
anti_martingale,base=3.5%_m=1.4,"{""base"": 3.5, ""mult"": 1.4}",2012.0831993805514,0.05,99.68,65.53,-99.95210739147201
anti_martingale,base=3.0%_m=1.7,"{""base"": 3.0, ""mult"": 1.7}",1966.3490957165968,0.05,99.81,67.47,-99.94956372659342
exponential_roi,base=3.0%_e=1.3,"{""base"": 3.0, ""exp"": 1.3}",1948.8569515891488,0.09,99.67,68.01,-99.97892689065941
anti_martingale,base=4.0%_m=1.2,"{""base"": 4.0, ""mult"": 1.2}",1944.3254356042082,0.06,99.49,64.8,-99.9586907303504
exponential_roi,base=2.0%_e=2.5,"{""base"": 2.0, ""exp"": 2.5}",1939.6236708104952,0.09,99.66000000000001,67.74,-99.97851011241173
adaptive_constant_profit,k=1.80_var,"{""k"": 1.8}",1930.9851855212628,0.01,99.19,55.34,-99.96832209043464
anti_martingale,base=3.0%_m=1.6,"{""base"": 3.0, ""mult"": 1.6}",1772.3470015525647,0.02,99.65,61.69,-99.94968269546995
anti_martingale,base=2.5%_m=2.0,"{""base"": 2.5, ""mult"": 2.0}",1715.9553236602933,0.02,99.89,65.88000000000001,-99.94915927266959
adaptive_constant_profit,k=1.70_var,"{""k"": 1.7}",1682.3341153113463,0.0,98.66,48.93,-99.95044900268539
anti_martingale,base=2.0%_m=3.0,"{""base"": 2.0, ""mult"": 3.0}",1651.4809153207375,0.02,99.92,70.42,-99.94978666972764
anti_martingale,base=3.5%_m=1.3,"{""base"": 3.5, ""mult"": 1.3}",1641.9575376582243,0.0,99.14,56.720000000000006,-99.93385108238465
anti_martingale,base=3.0%_m=1.5,"{""base"": 3.0, ""mult"": 1.5}",1593.9127608234871,0.0,99.4,55.46,-99.94384915213732
adaptive_constant_profit,k=1.60_var,"{""k"": 1.6}",1455.7129219475116,0.0,97.87,42.34,-99.91692668643837
linear_roi,base=3.0%,"{""base"": 3.0}",1455.0905610547088,0.02,98.99,56.32,-99.94622034962973
anti_martingale,base=2.5%_m=1.8,"{""base"": 2.5, ""mult"": 1.8}",1441.3880279338007,0.02,99.52,55.31,-99.9488982771267
anti_martingale,base=2.0%_m=2.5,"{""base"": 2.0, ""mult"": 2.5}",1416.6514741847943,0.02,99.83999999999999,62.67,-99.94821426813579
anti_martingale,base=3.5%_m=1.2,"{""base"": 3.5, ""mult"": 1.2}",1345.5713811838798,0.0,98.31,47.510000000000005,-99.91269384295832
