strategy,params,params_json,profit,bankrupt,dd50,dd80,worst_dd
adaptive_constant_profit,k=5.00_var,"{""k"": 5.0}",15554.187960517842,4.92,100.0,98.7,-99.99731498281092
exponential_roi,base=7.0%_e=1.7,"{""base"": 7.0, ""exp"": 1.7}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=7.0%_e=2.5,"{""base"": 7.0, ""exp"": 2.5}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=4.0%_e=3.0,"{""base"": 4.0, ""exp"": 3.0}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=5.0%_e=2.5,"{""base"": 5.0, ""exp"": 2.5}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=5.0%_e=3.0,"{""base"": 5.0, ""exp"": 3.0}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=6.0%_e=1.7,"{""base"": 6.0, ""exp"": 1.7}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=7.0%_e=3.0,"{""base"": 7.0, ""exp"": 3.0}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=7.0%_e=1.5,"{""base"": 7.0, ""exp"": 1.5}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=6.0%_e=2.5,"{""base"": 6.0, ""exp"": 2.5}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=7.0%_e=1.3,"{""base"": 7.0, ""exp"": 1.3}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=6.0%_e=3.0,"{""base"": 6.0, ""exp"": 3.0}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=6.0%_e=2.0,"{""base"": 6.0, ""exp"": 2.0}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
exponential_roi,base=7.0%_e=2.0,"{""base"": 7.0, ""exp"": 2.0}",14963.126692605194,7.8,100.0,99.31,-99.99718511570774
linear_roi,base=8.0%,"{""base"": 8.0}",14808.984422167552,7.489999999999999,100.0,99.35,-99.9977608293067
linear_roi,base=10.0%,"{""base"": 10.0}",14808.984422167552,7.489999999999999,100.0,99.35,-99.9977608293067
linear_roi,base=9.0%,"{""base"": 9.0}",14808.984422167552,7.489999999999999,100.0,99.35,-99.9977608293067
exponential_roi,base=6.0%_e=1.5,"{""base"": 6.0, ""exp"": 1.5}",14784.538080082735,7.71,100.0,99.3,-99.99712063274704
anti_martingale,base=10.0%_m=1.6,"{""base"": 10.0, ""mult"": 1.6}",14728.861851264986,7.539999999999999,100.0,99.33,-99.9979620157816
