strategy,params,params_json,profit,bankrupt,dd50,dd80,worst_dd
kelly_correct,frac=3.0,"{""fraction"": 3.0}",5149.934664818226,0.52,100.0,90.85,-99.98376640109369
kelly_correct,frac=2.5,"{""fraction"": 2.5}",4476.703774531402,0.26,99.99,87.13,-99.98274915309487
kelly_correct,frac=2.0,"{""fraction"": 2.0}",3523.590176124783,0.09,99.96000000000001,79.67999999999999,-99.98181464681836
kelly_correct,frac=1.75,"{""fraction"": 1.75}",2927.0599782628433,0.04,99.89,72.7,-99.96592667720923
kelly_correct,frac=1.5,"{""fraction"": 1.5}",2243.9781037646144,0.0,99.64,61.89,-99.94527859980255
kelly_correct,frac=1.25,"{""fraction"": 1.25}",1554.4327209740754,0.0,98.36,45.9,-99.84439903859364
kelly_correct,frac=1.0,"{""fraction"": 1.0}",976.9887273970251,0.0,93.13,25.919999999999998,-99.3585905468753
kelly_correct,frac=0.9,"{""fraction"": 0.9}",784.4733811539401,0.0,87.68,17.93,-98.80339004217828
kelly_correct,frac=0.8,"{""fraction"": 0.8}",616.6214222985939,0.0,78.35,10.65,-97.61211531438524
kelly_correct,frac=0.7,"{""fraction"": 0.7}",473.41171607772156,0.0,64.61,5.21,-95.59683285666256
kelly_correct,frac=0.6,"{""fraction"": 0.6}",354.35140016496024,0.0,46.949999999999996,1.81,-92.5752129741164
kelly_correct,frac=0.5,"{""fraction"": 0.5}",257.23746741910475,0.0,27.279999999999998,0.32,-88.1126588703903
kelly_correct,frac=0.45,"{""fraction"": 0.45}",216.0832853156598,0.0,18.7,0.1,-85.03732587173357
kelly_correct,frac=0.4,"{""fraction"": 0.4}",179.2687536515596,0.0,11.15,0.01,-81.27092879967823
kelly_correct,frac=0.35,"{""fraction"": 0.35}",146.48535128702335,0.0,5.37,0.0,-76.49705828476125
kelly_correct,frac=0.3,"{""fraction"": 0.3}",117.33970792886447,0.0,2.18,0.0,-70.2668768470433
kelly_correct,frac=0.25,"{""fraction"": 0.25}",91.45249749002252,0.0,0.5499999999999999,0.0,-62.70628704478302
kelly_correct,frac=0.2,"{""fraction"": 0.2}",68.48006898864371,0.0,0.06,0.0,-53.72432027282722
kelly_correct,frac=0.15,"{""fraction"": 0.15}",48.11306214996108,0.0,0.0,0.0,-43.14647899433664
kelly_correct,frac=0.1,"{""fraction"": 0.1}",30.07326070896671,0.0,0.0,0.0,-30.791298408711036
