method,param,param_str,profit,bankrupt,dd50,dd80,worst_dd,efficiency
Logarithmic,8.0,risk=8,379.6397029268293,0.0,51.83,2.31,-93.34737682335488,4.066956307141199
Logarithmic,10.0,risk=10,254.29225549830667,0.0,26.840000000000003,0.35000000000000003,-87.90473450432258,2.8928163759575685
Logarithmic,12.0,risk=12,188.7589767778553,0.0,13.44,0.02,-82.22824364303946,2.2955491740438454
Logarithmic,15.0,risk=15,134.5626982553143,0.0,4.0,0.0,-72.47798784916704,1.856600910822068
Logarithmic,18.0,risk=18,103.66832755596293,0.0,1.1900000000000002,0.0,-65.05894571076314,1.5934523134888794
Logarithmic,20.0,risk=20,89.73068438768787,0.0,0.44,0.0,-62.96644001072607,1.4250557022503199
Logarithmic,25.0,risk=25,66.75851972404872,0.0,0.02,0.0,-55.85626486984804,1.1951841011855031
Kelly,0.15,frac=0.15,48.11306214996108,0.0,0.0,0.0,-43.14647899433664,1.1151098136252635
Kelly,0.2,frac=0.2,68.48006898864371,0.0,0.06,0.0,-53.72432027282722,1.2746567781757432
Kelly,0.25,frac=0.25,91.45249749002252,0.0,0.5499999999999999,0.0,-62.70628704478302,1.4584262886544341
Kelly,0.3,frac=0.3,117.33970792886447,0.0,2.18,0.0,-70.2668768470433,1.6699149470423902
Kelly,0.35,frac=0.35,146.48535128702335,0.0,5.37,0.0,-76.49705828476125,1.9149148290347298
Kelly,0.4,frac=0.4,179.2687536515596,0.0,11.15,0.01,-81.27092879967823,2.205816474589981
Kelly,0.45,frac=0.45,216.0832853156598,0.0,18.7,0.1,-85.03732587173357,2.5410404560650224
Kelly,0.5,frac=0.5,257.23746741910475,0.0,27.279999999999998,0.32,-88.1126588703903,2.919415560906967
Kelly,0.6,frac=0.6,354.35140016496024,0.0,46.949999999999996,1.81,-92.5752129741164,3.8277135831600546
Kelly,0.7,frac=0.7,473.41171607772156,0.0,64.61,5.21,-95.59683285666256,4.952169459291113
