id,created_at,sport,league,home_team,away_team,outcome,coefficient,bookmaker,stake,ev_profit,real_profit,is_live,strategy
3174,2025-12-08 17:12:37.90583+00,Basketball,portugal liga feminina de basquetebol,quinta dos lombos,cab madeira,T< 160.5,2.35,Volcano,100,5.66,135.00,true,frontend
3173,2025-12-08 17:10:52.752201+00,Basketball,slovenia 1. skl,kk rogaska,tajfun sentjur,T< 175.5,2.6,Volcano,100,13.26,160.00,true,frontend
3172,2025-12-08 16:13:08.732364+00,Soccer,saudi arabia reserve league,alriyadh,damac,T< 3.5,2.25,Lobbet,100,3.71,125.00,true,frontend
3171,2025-12-08 16:11:43.59099+00,Basketball,portugal liga feminina de basquetebol,coimbroes,sporting cp,P1 H2 8.5,1.8,Lobbet,100,3.63,80.00,true,frontend
3169,2025-12-08 15:50:32.127966+00,Basketball,lebanon lebanese basketball league,sagesse,nadim souaid academy,T< 183.5,2.4,Lobbet,100,3.50,-100.00,true,frontend
3168,2025-12-08 15:43:23.138874+00,Basketball,qatar basketball league,al sadd,al khor,T< 155.5,2.35,Volcano,100,4.69,-100.00,true,frontend
3167,2025-12-08 15:40:56.94588+00,Basketball,portugal liga feminina de basquetebol,gdessa barreiro,uniao sportiva,T< 141.5,2.3,Volcano,100,3.57,-100.00,true,frontend
3165,2025-12-08 14:58:15.10643+00,Basketball,austria superliga women,ubscdbbc graz,basket flames,T< 142.5,2.1,Volcano,100,3.05,110.00,true,frontend
3164,2025-12-08 14:52:31.553988+00,Soccer,italy serie b,avellino,venezia,IT1> 1.5,3.1,Lobbet,100,3.28,-100.00,true,frontend
3158,2025-12-08 12:40:26.319011+00,Soccer,indonesia liga nusantara,perserang serang,persitara jakarta utara,IT1> 1.5,3.15,Lobbet,100,6.35,-100.00,true,frontend
3157,2025-12-08 12:35:22.463955+00,Basketball,china cba club cup,zhejiang guangsha lions,beijing ducks,T< 185.5,2.2,Lobbet,100,9.20,120.00,true,frontend
2270,2025-12-04 19:47:00.387938+00,Tennis,itf women melilla,victoria veleva,judith hernandez miranda,2,2.4,Volcano,100,3.33,-100.00,false,volcano_prematch_single
2242,2025-12-04 18:30:17.290346+00,Soccer,bosnia and herzegovina premier liga,zeljeznicar sarajevo,siroki brijeg,1,7.4,Volcano,100,293.29,-100.00,false,volcano_prematch_single
2260,2025-12-03 19:14:30.540082+00,Soccer,turkey cup,istanbulspor,sariyer,1,1.83,Volcano,100,3.57,83.00,false,volcano_prematch_single
