strategy,with_variation,avg_bet_%,min_bet_%,max_bet_%,roi_%,avg_profit_%,min_profit_%,max_profit_%,bankrupt_%,dd>20_%,dd>50_%,dd>80_%,avg_maxdd_%,worst_dd_%,timestamp,description
linear_roi_odds_OPT_CONSERVATIVE,No,0.62,0.14,2.92,6.99,53.70,-46.20,177.71,0.00,22.52,0.13,0.00,-16.21,-64.64,2025-12-10 12:09:57,OPTIMIZED CONSERVATIVE: linear_roi_odds
linear_roi_odds_OPT_CONSERVATIVE_var,Yes,0.47,0.05,2.81,6.98,38.89,-45.56,136.17,0.00,11.27,0.02,0.00,-13.47,-55.69,2025-12-10 12:09:57,OPTIMIZED CONSERVATIVE: linear_roi_odds
linear_roi_odds_OPT_CAUTIOUS,No,0.92,0.14,10.00,6.99,85.48,-74.66,281.40,0.00,55.31,2.46,0.09,-23.43,-96.45,2025-12-10 12:09:58,OPTIMIZED CAUTIOUS: linear_roi_odds
linear_roi_odds_OPT_CAUTIOUS_var,Yes,0.70,0.05,10.00,6.99,61.91,-71.77,215.80,0.00,38.68,0.84,0.02,-19.75,-84.57,2025-12-10 12:09:59,OPTIMIZED CAUTIOUS: linear_roi_odds
linear_roi_odds_OPT_BALANCED,No,1.05,0.13,10.00,7.00,100.33,-99.91,328.53,0.01,66.44,4.98,0.34,-26.65,-99.95,2025-12-10 12:09:59,OPTIMIZED BALANCED: linear_roi_odds
linear_roi_odds_OPT_BALANCED_var,Yes,0.81,0.06,10.00,6.99,72.69,-89.00,252.21,0.00,51.67,2.11,0.07,-22.59,-94.73,2025-12-10 12:10:00,OPTIMIZED BALANCED: linear_roi_odds
linear_roi_OPT_CONSERVATIVE,No,0.68,0.28,3.67,7.00,59.04,-70.19,189.96,0.00,37.90,0.87,0.00,-19.48,-77.30,2025-12-10 12:10:00,OPTIMIZED CONSERVATIVE: linear_roi
linear_roi_OPT_CONSERVATIVE_var,Yes,0.51,0.10,3.28,7.00,42.78,-66.18,145.39,0.00,22.73,0.15,0.00,-16.22,-70.91,2025-12-10 12:10:01,OPTIMIZED CONSERVATIVE: linear_roi
adaptive_constant_profit_OPT_CONSERVATIVE,No,0.52,0.09,4.18,6.99,43.88,-37.92,148.32,0.00,11.10,0.02,0.00,-13.47,-50.88,2025-12-10 12:10:01,OPTIMIZED CONSERVATIVE: adaptive_constant_profit
adaptive_constant_profit_OPT_CONSERVATIVE_var,Yes,0.39,0.04,4.02,7.01,31.91,-30.72,107.43,0.00,4.73,0.00,0.00,-11.06,-37.85,2025-12-10 12:10:02,OPTIMIZED CONSERVATIVE: adaptive_constant_profit
adaptive_constant_profit_OPT_CAUTIOUS,No,0.95,0.12,10.00,6.99,89.39,-77.73,302.15,0.00,57.00,2.69,0.15,-23.78,-99.11,2025-12-10 12:10:03,OPTIMIZED CAUTIOUS: adaptive_constant_profit
adaptive_constant_profit_OPT_CAUTIOUS_var,Yes,0.73,0.05,10.00,7.01,65.01,-62.58,218.85,0.00,39.47,1.06,0.00,-19.94,-75.06,2025-12-10 12:10:03,OPTIMIZED CAUTIOUS: adaptive_constant_profit
adaptive_constant_profit_OPT_BALANCED,No,1.10,0.12,10.00,6.99,106.02,-99.84,358.45,0.02,67.79,5.32,0.38,-27.04,-99.96,2025-12-10 12:10:04,OPTIMIZED BALANCED: adaptive_constant_profit
adaptive_constant_profit_OPT_BALANCED_var,Yes,0.84,0.05,10.00,7.01,77.13,-74.37,259.62,0.00,52.08,2.34,0.07,-22.80,-90.81,2025-12-10 12:10:05,OPTIMIZED BALANCED: adaptive_constant_profit
sqrt_roi_OPT_BALANCED,No,1.18,0.34,10.00,6.99,113.00,-99.99,363.86,0.08,79.78,10.66,1.40,-31.69,-100.00,2025-12-10 12:10:05,OPTIMIZED BALANCED: sqrt_roi
sqrt_roi_OPT_BALANCED_var,Yes,0.90,0.13,10.00,7.02,82.22,-99.96,283.00,0.02,67.96,5.20,0.39,-26.96,-99.98,2025-12-10 12:10:06,OPTIMIZED BALANCED: sqrt_roi
adaptive_OPT_RISKY_LIMITED,No,0.92,0.29,1.16,6.15,93.52,-44.01,723.41,0.00,71.51,0.00,0.00,-24.08,-49.53,2025-12-10 12:10:31,OPTIMIZED RISKY_LIMITED: adaptive
adaptive_OPT_RISKY_LIMITED_var,Yes,0.72,0.07,2.07,6.14,67.65,-44.76,602.75,0.00,50.26,0.00,0.00,-20.96,-49.99,2025-12-10 12:10:56,OPTIMIZED RISKY_LIMITED: adaptive
