strategy,with_variation,avg_bet_%,min_bet_%,max_bet_%,roi_%,avg_profit_%,min_profit_%,max_profit_%,bankrupt_%,dd>20_%,dd>50_%,dd>80_%,avg_maxdd_%,worst_dd_%,timestamp,description
linear_scaled_EXTREME_ROI11034,No,3.12,0.39,10.0,6.07,306.45,-100.0,1063.79,3.79,99.23,57.62,24.4,-59.56,-100.0,2025-12-10 12:13:31,EXTREME_ROI11034: linear_scaled
adaptive_constant_profit_CRAZY_ROI3708,No,2.37,0.14,10.0,6.63,249.11,-100.0,870.25,1.48,96.59,39.56,11.92,-48.84,-100.0,2025-12-10 12:13:34,CRAZY_ROI3708: adaptive_constant_profit
linear_scaled_EXTREME_ROI11034_var,Yes,2.46,0.16,10.0,6.44,228.83,-100.0,788.67,1.89,97.93,48.68,17.42,-53.99,-100.0,2025-12-10 12:13:31,EXTREME_ROI11034: linear_scaled
adaptive_constant_profit_RISKY_ROI1328,No,1.9,0.14,10.0,6.83,197.69,-100.0,677.45,0.66,93.04,26.94,5.93,-42.11,-100.0,2025-12-10 12:13:33,RISKY_ROI1328: adaptive_constant_profit
adaptive_constant_profit_CRAZY_ROI3708_var,Yes,1.83,0.06,10.0,6.85,184.33,-100.0,630.32,0.55,93.83,28.49,6.66,-42.82,-100.0,2025-12-10 12:13:35,CRAZY_ROI3708: adaptive_constant_profit
adaptive_constant_profit_RISKY_ROI1328_var,Yes,1.46,0.06,10.0,6.95,144.95,-99.99,490.68,0.22,87.58,17.66,3.05,-36.41,-100.0,2025-12-10 12:13:34,RISKY_ROI1328: adaptive_constant_profit
linear_roi_odds_BALANCED_ROI282,No,1.05,0.13,10.0,7.0,100.33,-99.91,328.53,0.01,66.44,4.98,0.34,-26.65,-99.95,2025-12-10 12:11:01,BALANCED_ROI282: linear_roi_odds
adaptive_EXTREME_ROI16173,No,0.96,0.3,1.21,6.11,98.99,-44.79,801.24,0.0,76.15,0.02,0.0,-24.92,-50.82,2025-12-10 12:13:05,EXTREME_ROI16173: adaptive
adaptive_RISKY_ROI2602,No,0.92,0.29,1.16,6.15,93.52,-44.01,723.41,0.0,71.51,0.0,0.0,-24.08,-49.53,2025-12-10 12:11:26,RISKY_ROI2602: adaptive
linear_roi_odds_CAUTIOUS_ROI209,No,0.92,0.14,10.0,6.99,85.48,-74.66,281.4,0.0,55.31,2.46,0.09,-23.43,-96.45,2025-12-10 12:10:59,CAUTIOUS_ROI209: linear_roi_odds
