ставка_№,банк_до,пик_до,ставка_абс,ставка_%живого,исход,банк_после,DD_от_пика_%
0,1000.0000,1000.0000,10.0000,1.0000,LOSS,990.0000,0.00
1,990.0000,1000.0000,9.9000,1.0000,LOSS,980.1000,-1.00
2,980.1000,1000.0000,9.8010,1.0000,LOSS,970.2990,-1.99
3,970.2990,1000.0000,9.7030,1.0000,LOSS,960.5960,-2.97
4,960.5960,1000.0000,9.6060,1.0000,LOSS,950.9900,-3.94
5,950.9900,1000.0000,9.5099,1.0000,WIN,960.5000,-4.90
6,960.5000,1000.0000,9.6050,1.0000,WIN,970.1049,-3.95
7,970.1049,1000.0000,9.7010,1.0000,LOSS,960.4039,-2.99
8,960.4039,1000.0000,9.6040,1.0000,LOSS,950.7999,-3.96
9,950.7999,1000.0000,9.5080,1.0000,LOSS,941.2919,-4.92
10,941.2919,1000.0000,9.4129,1.0000,LOSS,931.8789,-5.87
11,931.8789,1000.0000,9.3188,1.0000,LOSS,922.5602,-6.81
12,922.5602,1000.0000,9.2256,1.0000,WIN,931.7858,-7.74
13,931.7858,1000.0000,9.3179,1.0000,WIN,941.1036,-6.82
14,941.1036,1000.0000,9.4110,1.0000,WIN,950.5146,-5.89
15,950.5146,1000.0000,9.5051,1.0000,WIN,960.0198,-4.95
16,960.0198,1000.0000,9.6002,1.0000,LOSS,950.4196,-4.00
17,950.4196,1000.0000,9.5042,1.0000,WIN,959.9238,-4.96
18,959.9238,1000.0000,9.5992,1.0000,WIN,969.5230,-4.01
19,969.5230,1000.0000,9.6952,1.0000,LOSS,959.8278,-3.05
20,959.8278,1000.0000,9.5983,1.0000,LOSS,950.2295,-4.02
21,950.2295,1000.0000,9.5023,1.0000,LOSS,940.7272,-4.98
22,940.7272,1000.0000,9.4073,1.0000,WIN,950.1345,-5.93
23,950.1345,1000.0000,9.5013,1.0000,WIN,959.6358,-4.99
24,959.6358,1000.0000,9.5964,1.0000,LOSS,950.0395,-4.04
25,950.0395,1000.0000,9.5004,1.0000,LOSS,940.5391,-5.00
26,940.5391,1000.0000,9.4054,1.0000,WIN,949.9445,-5.95
27,949.9445,1000.0000,9.4994,1.0000,LOSS,940.4450,-5.01
28,940.4450,1000.0000,9.4045,1.0000,LOSS,931.0406,-5.96
29,931.0406,1000.0000,9.3104,1.0000,WIN,940.3510,-6.90
30,940.3510,1000.0000,9.4035,1.0000,WIN,949.7545,-5.96
31,949.7545,1000.0000,9.4975,1.0000,WIN,959.2520,-5.02
